id_capitulo,codigo_romano,descripcion
1,I,Ciertas enfermedades infecciosas y parasitarias
2,II,Tumores (neoplasias)
3,III,Enfermedades de la sangre y de los organos hematopoyeticos y ciertos trastornos que afectan el mecanismo de la inmunidad
4,IV,Enfermedades endocrinas nutricionales y metabolicas
5,V,Trastornos mentales y del comportamiento
6,VI,Enfermedades del sistema nervioso
7,VII,Enfermedades del ojo y sus anexos
8,VIII,Enfermedades del oido y de la apofisis mastoides
9,IX,Enfermedades del sistema circulatorio
10,X,Enfermedades del sistema respiratorio
11,XI,Enfermedades del sistema digestivo
12,XII,Enfermedades de la piel y del tejido subcutaneo
13,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo
14,XIV,Enfermedades del sistema genitourinario
15,XV,Embarazo parto y puerperio
16,XVI,Ciertas afecciones originadas en el periodo perinatal
17,XVII,Malformaciones congenitas deformidades y anomalias cromosomicas
18,XVIII,Sintomas signos y hallazgos anormales clinicos y de laboratorio no clasificados en otra parte
19,XIX,Traumatismos envenenamientos y algunas otras consecuencias de causas externas
20,XX,Causas externas de morbilidad y de mortalidad
21,XXI,Factores que influyen en el estado de salud y contacto con los servicios de salud
22,XXII,Codigos para situaciones especiales
